cnpj,data_base,mes,logo
00884713000165,2020-05-01,23,1
00884713000165,2020-05-01,24,1
00884713000165,2020-05-01,25,1
00884713000165,2020-05-01,26,1
00884713000165,2020-05-01,27,1
00884713000165,2020-05-01,28,1
00884713000165,2020-05-01,29,1
00884713000165,2020-05-01,30,1
00885710000146,2020-09-01,1,1
00885710000146,2020-09-01,2,1
00885710000146,2020-09-01,3,1
00888572000159,2020-12-01,1,1
00888572000159,2020-12-01,2,1
00888572000159,2020-12-01,3,1
00888572000159,2020-12-01,4,1
00888572000159,2020-12-01,5,1
00888572000159,2020-12-01,6,1
00888572000159,2020-12-01,7,1
00888572000159,2020-12-01,8,1
00888572000159,2020-12-01,9,1
00888572000159,2020-12-01,10,1
00888572000159,2020-12-01,11,1
00892482000131,2021-07-01,1,1
00892482000131,2021-07-01,2,1
00892482000131,2021-07-01,3,1
00892482000131,2021-07-01,4,1
00892482000131,2021-07-01,5,1
00892482000131,2021-07-01,6,1
00892482000131,2021-07-01,7,1
00918670000191,2019-11-01,1,1
00918670000191,2019-11-01,2,1
00918670000191,2019-11-01,3,1
00918670000191,2019-11-01,4,1
00918670000191,2019-11-01,5,1
00918670000191,2019-11-01,6,1
00918670000191,2019-11-01,7,1
00918670000191,2019-11-01,8,1
00918670000191,2019-11-01,9,1
00918670000191,2019-11-01,10,1
00918670000191,2019-11-01,11,1
00918670000191,2019-11-01,12,1
00918670000191,2019-11-01,13,1
00918670000191,2019-11-01,14,1
00918670000191,2019-11-01,15,1
00918670000191,2019-11-01,16,1
00918670000191,2019-11-01,17,1
00918670000191,2019-11-01,18,1
00918670000191,2019-11-01,19,1
00918670000191,2019-11-01,20,1
00918670000191,2019-11-01,21,1
00918670000191,2019-11-01,22,1
00918670000191,2019-11-01,23,1
00918670000191,2019-11-01,24,1
00918670000191,2019-11-01,25,1
00918670000191,2019-11-01,26,1
00918670000191,2019-11-01,27,1
00918670000191,2019-11-01,28,1
00918670000191,2019-11-01,29,1
00918670000191,2019-11-01,30,1
00918670000191,2019-11-01,31,1
00927360000133,2018-06-01,1,1
00927360000133,2018-06-01,2,1
00927360000133,2018-06-01,3,1
00927360000133,2018-06-01,4,1
00927360000133,2018-06-01,5,1
00927360000133,2018-06-01,6,1
00927360000133,2018-06-01,7,1
00927360000133,2018-06-01,8,1
00927360000133,2018-06-01,9,1
00927360000133,2018-06-01,10,1
00927360000133,2018-06-01,11,1
00927360000133,2018-06-01,12,1
00927360000133,2018-06-01,13,1
00927360000133,2018-06-01,14,1
00927360000133,2018-06-01,15,1
00927360000133,2018-06-01,16,1
00927360000133,2018-06-01,17,1
00927360000133,2018-06-01,18,1
00927360000133,2018-06-01,19,1
00927360000133,2018-06-01,20,1
00927360000133,2018-06-01,21,1
00999856000112,2019-02-01,1,1
00999856000112,2019-02-01,2,1
00999856000112,2019-02-01,3,1
00999856000112,2019-02-01,4,1
00999856000112,2019-02-01,5,1
00999856000112,2019-02-01,6,1
00999856000112,2019-02-01,7,1
00999856000112,2019-02-01,8,1
00999856000112,2019-02-01,9,1
00999856000112,2019-02-01,10,1
00999856000112,2019-02-01,11,1
00999856000112,2019-02-01,12,1
00999856000112,2019-02-01,13,1
00999856000112,2019-02-01,14,1
01023164000105,2019-10-01,1,1
01023164000105,2019-10-01,2,1
01023164000105,2019-10-01,3,1
01023164000105,2019-10-01,4,1
01023164000105,2019-10-01,5,1
01023164000105,2019-10-01,6,1
01023164000105,2019-10-01,7,1
01023164000105,2019-10-01,8,1
01023164000105,2019-10-01,9,1
01023164000105,2019-10-01,10,1
01023164000105,2019-10-01,11,1
01023164000105,2019-10-01,12,1
01023164000105,2019-10-01,13,1
01023164000105,2019-10-01,14,1
01023164000105,2019-10-01,15,1
01023164000105,2019-10-01,16,1
01023164000105,2019-10-01,17,1
01023164000105,2019-10-01,18,1
01023164000105,2019-10-01,19,1
01023164000105,2019-10-01,20,1
01023164000105,2019-10-01,21,1
01023164000105,2019-10-01,22,1
01023164000105,2019-10-01,23,1
01023164000105,2019-10-01,24,1
01023164000105,2019-10-01,25,1
01023164000105,2019-10-01,26,1
01023164000105,2019-10-01,27,1
01023164000105,2019-10-01,28,1
01023164000105,2019-10-01,29,1
01023164000105,2019-10-01,30,1
01023164000105,2019-10-01,31,1
01023164000105,2019-10-01,32,1
01023164000105,2019-10-01,33,1
01023164000105,2019-10-01,34,1
01023164000105,2019-10-01,35,1
01023164000105,2019-10-01,36,1
01023164000105,2019-10-01,37,1
01023164000105,2019-10-01,38,1
01029475000173,2021-10-01,1,1
01029475000173,2021-10-01,2,1
01029475000173,2021-10-01,3,1
01029475000173,2021-10-01,4,1
01066625000208,2021-03-01,1,1
01066625000208,2021-03-01,2,1
01066625000208,2021-03-01,3,1
01066625000208,2021-03-01,4,1
01066625000208,2021-03-01,5,1
01066625000208,2021-03-01,6,1
01066625000208,2021-03-01,7,1
01066625000208,2021-03-01,8,1
01066625000208,2021-03-01,9,1
01066625000208,2021-03-01,10,1
01066625000208,2021-03-01,11,1
01066625000208,2021-03-01,12,1
01066625000208,2021-03-01,13,1
01066625000208,2021-03-01,14,1
01084671000493,2017-01-01,1,1
01084671000493,2017-01-01,2,1
01084671000493,2017-01-01,3,1
01084671000493,2017-01-01,4,1
01084671000493,2017-01-01,5,1
01084671000493,2017-01-01,6,1
01084671000493,2017-01-01,7,1
01084671000493,2017-01-01,8,1
01084671000493,2017-01-01,9,1
01084671000493,2017-01-01,10,1
01084671000493,2017-01-01,11,1
01084671000493,2017-01-01,12,1
01084671000493,2017-01-01,13,1
01084671000493,2017-01-01,14,1
01084671000493,2017-01-01,15,1
01084671000493,2017-01-01,16,1
01084671000493,2017-01-01,17,1
01084671000493,2017-01-01,18,1
01084671000493,2017-01-01,19,1
01084671000493,2017-01-01,20,1
01084671000493,2017-01-01,21,1
01084671000493,2017-01-01,22,1
01084671000493,2017-01-01,23,1
01084671000493,2017-01-01,24,1
01084671000493,2017-01-01,25,1
01084671000493,2017-01-01,26,1
01084671000493,2017-01-01,27,1
01084671000493,2017-01-01,28,1
01084671000493,2017-01-01,29,1
01084671000493,2017-01-01,30,1
01084671000493,2017-01-01,31,1
01084671000493,2017-01-01,32,1
01084671000493,2017-01-01,33,1
01084671000493,2017-01-01,34,1
01084671000493,2017-01-01,35,1
01084671000493,2017-01-01,36,1
01084671000493,2017-01-01,37,1
01084671000493,2017-01-01,38,1
01084671000493,2017-01-01,39,1
01084671000493,2017-01-01,40,1
01084671000493,2017-01-01,41,1
01084671000493,2017-01-01,42,1
01084671000493,2017-01-01,43,1
01084671000493,2017-01-01,44,1
01084671000493,2017-01-01,45,1
01084671000493,2017-01-01,46,1
01084671000493,2017-01-01,47,1
01084671000493,2017-01-01,48,1
01084671000493,2017-01-01,49,1
01084671000493,2017-01-01,50,1
01084671000493,2017-01-01,51,1
01084671000493,2017-01-01,52,1
01084671000493,2017-01-01,53,1
01084671000493,2017-01-01,54,1
01084671000493,2017-01-01,55,1
01084671000493,2017-01-01,56,1
01084671000493,2017-01-01,57,1
01084671000493,2017-01-01,58,1
01084671000493,2017-01-01,59,1
01084671000493,2017-01-01,60,1
01084671000493,2017-01-01,61,1
01084671000493,2017-01-01,62,1
01084671000493,2017-01-01,63,1
01084671000493,2017-01-01,64,1
01093501000122,2022-09-01,1,1
01093501000122,2022-09-01,2,1
01099318000134,2021-05-01,1,1
